Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,,,,,,,,,,,,,,,,,,
Un bon bock,1892,N/A,28 Oct 1892,12 min,"Animation, Short",Émile Reynaud,N/A,N/A,"A wanderer comes into a cabaret in the countryside and asks for a glass of beer to a waitress. It is visible that she appeals to him. When the waitress comes back with the beer, the wanderer begins to court her. Meanwhile the kitchen boy comes, drinks the beer unnoticed and vanishes. The wanderer, misunderstanding, asks for another beer. Then a traveler enters and has an argument with the wanderer. During the argument, the kitchen boy appears, drinks up the second beer and runs away. The customer finds his glass empty again, as the traveler quits. He calls the waitress, expresses his disappointment and leaves. The kitchen boy comes in and explains to the waitress what he did with the two beers. They make fun together on the wanderer and leave.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BOGI5NjI1NjMtMjg4Mi00YTQyLThkYjgtNTI1YjlhNzZkOTZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,N/A,6.1,178,tt0000004,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Italienischer Bauerntanz,1895,N/A,01 Nov 1895,1 min,"Documentary, Short","Emil Skladanowsky, Max Skladanowsky",N/A,"Ploetz, Larella","Two children, Ploetz and Larella, perform an Italian peasant dance.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMmQ5NTVhODgtZTVmZS00ZjhjLWE0YWYtMTk5M2U0ZGFhNjZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,N/A,4.6,339,tt0000017,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Messers. Lumière at Cards,1896,N/A,23 Feb 1896,1 min,"Documentary, Short",Louis Lumière,N/A,"Antoine Féraud, Antoine Lumière, Félicien Trewey","Three men sit around a table at a terrace outside a bistro. Two of them are playing cards, while the third calls the waiter by knocking at the table. The waiter arrives, receives the order, and is swiftly back, carrying a tray with a bottle of wine and three glasses. While the third man fills the glasses with wine, the waiter follows the card game with great interest, applauding and laughing loudly. The three men raise their glasses and toast. The two card players put more money on the table and continue their game.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGI0OTA4ODItMTE2My00OTNkLTk2MjYtZTcwZjRkOWVmMWU5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,5.6,"1,561",tt0000026,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Cordeliers' Square in Lyon,1895,N/A,28 Dec 1895,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"A stationary camera looks across the boulevard at a diagonal toward one corner of Lyon's Cordeliers' Square. It's a long shot, with a great deal of depth of focus. We can see the sky and fronts of four buildings, each four or five stories tall. It's a busy thoroughfare, with pedestrians walking in front of the buildings and crossing the boulevard between horse-drawn vehicles. A double-decker bus passes in front of us, pulled by two horses. Various tradesmen pass on wagons. One van passes.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYzc4ZTA4NmItMDdkZS00NWZjLWFjYjQtZjMzYjk5YjVhMTdkXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_SX300.jpg,N/A,5.6,"1,187",tt0000027,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Fishing for Goldfish,1895,N/A,28 Dec 1895,1 min,"Documentary, Short",Louis Lumière,N/A,"Andrée Lumière, Auguste Lumière","A man holds a child of about 10 or 11 months so the child can stand on a table and look down into a large clear goldfish bowl, nearly full of water, with two goldfish swimming in it. The child, dressed in a white gown with a white cap, makes an occasional grab for a fish. The fish evade the child.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTNkN2I5MGUtMWVmOS00OWE5LWE4ZDMtZjE1NjJiODJkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.1,"1,110",tt0000028,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Leaving the Factory,1895,Not Rated,22 Mar 1895,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"A man opens the big gates to the Lumière factory. Through the gateway and a smaller doorway beside it, workers are streaming out, turning either left or right. Most of them are women in long dresses and big hats, but some are men. Suddenly a man with a long apron rushes out through the crowd, followed by a big dog. At last some men on bikes leave the gateway. When all workers have left the factory, the doorkeeper starts closing the gates again.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BY2EwNzY0YmItOWM2MS00MmQyLWEzYmUtYmQ4ZDNlYjg1OGY0XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_SX300.jpg,N/A,6.9,"7,351",tt0000010,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Die Serpentintänzerin,1895,N/A,01 Nov 1895,1 min,Short,Max Skladanowsky,N/A,Ancion,"A young woman dancer with large, flowing robes, swirls round herself quickly, making her light robe flow around her like a butterfly's wings.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BYzEzMGUyNjQtNTRjZC00OGY1LThmMTYtM2UwM2Q0ZWM3NzE2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.0,428,tt0000032,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Arrival of a Train,1896,Not Rated,30 Jun 1896,1 min,"Documentary, Short","Auguste Lumière, Louis Lumière",N/A,"Madeleine Koehler, Marcel Koehler, Mrs. Auguste Lumiere","A group of people are standing in a straight line along the platform of a railway station, waiting for a train, which is seen coming at some distance. When the train stops at the platform, the line dissolves. The doors of the railway-cars open, and people on the platform help passengers to get off.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_SX300.jpg,N/A,7.4,"12,689",tt0000012,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Carmencita,1894,Not Rated,10 Mar 1894,1 min,"Documentary, Short",William K.L. Dickson,N/A,Carmencita,"Presumably, the first woman ever to appear in a Kinetoscope film and possibly the first woman to take part in a motion picture in the United States, the Spaniard dancer, Carmencita, performs her appealing high-kick dance in front of the camera of William K.L. Dickson and William Heise, for Thomas Edison. In this segment of her New York music-hall act, she spins and twirls, exhibiting an admirable talent, a fashionable dress, and a really charming smile.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,5.7,"2,014",tt0000001,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Sea,1895,N/A,28 Jun 1896,1 min,"Documentary, Short",Louis Lumière,N/A,N/A,"The sea is before us. Some rocks are visible to the right and a narrow jetty extends about ten meters or so about three feet above the sea, held up by two sets of pylons. A woman and several lads about ten years old are coming out onto the rocks, one climbs onto the jetty at the end. He jumps back into the sea as the lads and lady run out to the end of the jetty and jump off. Even though the sea looks to be only about a foot deep, one boy does a flip into the water and repeats it later. The others simply jump in.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BODBiN2QxZjktZmMwZi00NWY3LWI0NjktZmE5MzUwMzIyZDNjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,5.7,"1,461",tt0000023,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
